prison_name_original,prison_name_group
Acklington,Acklington
Acklington / Castington,Northumberland
Altcourse,Altcourse
Ashfield,Ashfield
Ashwell,Ashwell
Askham Grange,Askham Grange
Aylesbury,Aylesbury
Bedford,Bedford
Belmarsh,Belmarsh
Birmingham,Birmingham
Blantyre House,Blantyre House
Blundeston,Blundeston
Brinsford,Brinsford
Bristol,Bristol
Brixton,Brixton
Bronzefield,Bronzefield
Buckley Hall,Buckley Hall
Bullingdon,Bullingdon
Bullwood Hall,Bullwood Hall
Bure,Bure
Canterbury,Canterbury
Cardiff,Cardiff
Castington,Castington
Channings Wood,Channings Wood
Chelmsford,Chelmsford
Coldingley,Coldingley
Cookham Wood,Cookham Wood
Dartmoor,Dartmoor
Deerbolt,Deerbolt
Doncaster,Doncaster
Dorchester,Dorchester
Dovegate,Dovegate
Dover,Dover (IRC)
Dover (IRC),Dover (IRC)
Downview,Downview
Drake Hall,Drake Hall
Durham,Durham
East Sutton Park,East Sutton Park
Eastwood Park,Eastwood Park
Edmunds Hill,Edmunds Hill
Elmley (Sheppey Cluster),Elmley (Sheppey)
Elmley (Sheppey),Elmley (Sheppey)
Erlestoke,Erlestoke
Everthorpe,Everthorpe
Exeter,Exeter
Featherstone,Featherstone
Feltham,Feltham
Ford,Ford
Forest Bank,Forest Bank
Foston Hall,Foston Hall
Frankland,Frankland
Full Sutton,Full Sutton
Garth,Garth
Gartree,Gartree
Glen Parva,Glen Parva
Gloucester,Gloucester
Grendon,Grendon
Grendon / Spring Hill,Grendon / Spring Hill
Grendon / Springhill,Grendon / Spring Hill
Grendon/ Spring Hill,Grendon / Spring Hill
Guys Marsh,Guys Marsh
Haslar,Haslar (IRC)
Haslar (IRC),Haslar (IRC)
Hatfield,Hatfield
Hatfield***,Hatfield
Haverigg,Haverigg
Hewell,Hewell
High Down,High Down
Highpoint,Highpoint
Highpoint (North and South),Highpoint (North and South)
Highpoint North & South***,Highpoint (North and South)
Hindley,Hindley
Hollesley Bay,Hollesley Bay
Holloway,Holloway
Holme House,Holme House
Hull,Hull
Humber,Humber
Huntercombe,Huntercombe
Isis,Isis
Isle of Wight,Isle of Wight
Isle of Wight***,Isle of Wight
Kennet,Kennet
Kingston,Kingston
Kirkham,Kirkham
Kirklevington Grange,Kirklevington Grange
Lancaster,Lancaster
Lancaster Farms,Lancaster Farms
Latchmere House,Latchmere House
Leeds,Leeds
Leicester,Leicester
Lewes,Lewes
Leyhill,Leyhill
Lincoln,Lincoln
Lindholme,Lindholme (IRC)
Lindholme (IRC),Lindholme (IRC)
Littlehey,Littlehey
Liverpool,Liverpool
Long Lartin,Long Lartin
Low Newton,Low Newton
Lowdham Grange,Lowdham Grange
Maidstone,Maidstone
Manchester,Manchester
Moorland,Moorland
Moorland / Hatfield,Moorland / Hatfield
Moorland***,Moorland
Moorland/ Moorland Open,Moorland/ Moorland Open
Morton Hall,Morton Hall (IRC)
Morton Hall (IRC),Morton Hall (IRC)
Morton Hall IRC,Morton Hall (IRC)
Mount,Mount
New Hall,New Hall
North Sea Camp,North Sea Camp
Northallerton,Northallerton
Northumberland,Northumberland
Norwich,Norwich
Nottingham,Nottingham
Oakwood,Oakwood
Onley,Onley
Parc,Parc
Pentonville,Pentonville
Peterborough,Peterborough (Male & Female)
Peterborough (Female),Peterborough (Female)
Peterborough (Male & Female),Peterborough (Male & Female)
Peterborough (Male),Peterborough (Male)
Portland,Portland
Prescoed,Prescoed
Preston,Preston
Ranby,Ranby
Reading,Reading
Risley,Risley
Rochester,Rochester
Rye Hill,Rye Hill
Send,Send
Sheppey,Sheppey
Shepton Mallet,Shepton Mallet
Shepton Mallet / Erlestoke,Shepton Mallet / Erlestoke
Shrewsbury,Shrewsbury
Spring Hill,Spring Hill
Stafford,Stafford
Standford Hill,Standford Hill (Sheppey)
Standford Hill (Sheppey,Standford Hill (Sheppey)
Standford Hill (Sheppey),Standford Hill (Sheppey)
Stocken,Stocken
Stoke Heath,Stoke Heath
Styal,Styal
Sub Total,Sub Total
Sub total,Sub Total
Sudbury,Sudbury
Swaleside,Swaleside (Sheppey)
Swaleside (Sheppey Cluster),Swaleside (Sheppey)
Swaleside (Sheppey),Swaleside (Sheppey)
Swansea,Swansea
Swinfen Hall,Swinfen Hall
Thameside,Thameside
Thorn Cross,Thorn Cross
Total,Total
Usk,Usk
Usk / Prescoed,Usk / Prescoed
Usk/ Prescoed,Usk / Prescoed
Verne,Verne (IRC)
Verne (IRC),Verne (IRC)
Wakefield,Wakefield
Wandsworth,Wandsworth
Warren Hill,Warren Hill
Wayland,Wayland
Wealstun,Wealstun
Wellingborough,Wellingborough
Werrington,Werrington
Wetherby,Wetherby
Whatton,Whatton
Whitemoor,Whitemoor
Winchester,Winchester
Wolds,Wolds
Woodhill,Woodhill
Wormwood Scrubs,Wormwood Scrubs
Wymott,Wymott
